"Marketing Channel","Unique Visitors","Buyer / Visitor","Sales","Bounce Rate","New Visitor %"
Total,182951,5.71%,$16031770.83,30.69%,90.78%
rah_Ariel33,15978,8.77%,$1321372.91,0.11%,52.95%
DMO5997_20140829050412,8330,9.33%,$723198.83,0.05%,52.11%
automation test channel,2061,10.72%,$181037.96,0.05%,50.51%
PawanTest,-,-,-,-,-
test1,-,-,-,-,-
All Other MMC Vendors,51803,9.15%,$4439683.74,0.08%,53.89%
Natural Search Activity,25388,8.38%,$2330634.16,0.10%,58.76%
Referring Sites Activity,121135,5.67%,$4919652.72,57.72%,88.57%
Direct Load Activity,4397,8.55%,$2116190.51,4.20%,48.10%
