"Marketing Channel","Unique Visitors","Buyer / Visitor","Sales","Bounce Rate","New Visitor %"
Total,173454,5.86%,$17182511.24,32.47%,90.28%
rah_Ariel33,14833,9.16%,$1237901.90,0.08%,53.83%
DMO5997_20140829050412,7711,9.45%,$707583.49,0.14%,51.10%
automation test channel,1940,8.97%,$151566.83,0.00%,50.77%
PawanTest,-,-,-,-,-
test1,-,-,-,-,-
All Other MMC Vendors,47461,9.05%,$4010378.42,0.08%,53.63%
Natural Search Activity,23534,8.68%,$2141024.86,0.05%,58.56%
Referring Sites Activity,115125,5.77%,$4866254.31,60.34%,88.35%
Direct Load Activity,4781,9.24%,$4067801.43,6.50%,57.04%
